,Unnamed: 0,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
0,5241,-118.39,34.12,29.0,6447.0,1012.0,2184.0,960.0,8.2816,480625.64,<1H OCEAN
1,17352,-120.42,34.89,24.0,2020.0,307.0,855.0,283.0,5.0099,198831.01,<1H OCEAN
2,3505,-118.45,34.25,36.0,1453.0,270.0,808.0,275.0,4.3839,218499.01,<1H OCEAN
3,7777,-118.1,33.91,35.0,1653.0,325.0,1072.0,301.0,3.2708,213455.0,<1H OCEAN
4,14155,-117.07,32.77,38.0,3779.0,614.0,1495.0,614.0,4.3529,208046.0,NEAR OCEAN
5,7057,-118.04,33.93,35.0,1805.0,387.0,1505.0,366.0,4.1667,166991.0,<1H OCEAN
6,33,-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,166719.01,NEAR BAY
7,17049,-122.26,37.46,26.0,5067.0,750.0,1996.0,728.0,7.0001,436235.23,NEAR OCEAN
8,18164,-122.03,37.36,16.0,2697.0,803.0,1369.0,723.0,4.4699,250800.01,<1H OCEAN
9,10444,-117.61,33.43,24.0,2303.0,399.0,851.0,379.0,3.9875,244040.04,NEAR OCEAN
10,4652,-118.32,34.06,36.0,3239.0,722.0,1383.0,612.0,4.5918,454600.6,<1H OCEAN
11,16294,-121.23,37.96,44.0,2204.0,473.0,1277.0,435.0,1.5539,69413.0,INLAND
12,16531,-121.2,37.81,26.0,395.0,74.0,193.0,72.0,7.3718,270622.01,INLAND
13,18029,-121.91,37.24,24.0,5046.0,1001.0,2449.0,968.0,4.7118,273269.0,<1H OCEAN
14,3492,-118.48,34.28,35.0,2132.0,368.0,1128.0,341.0,5.3107,254754.0,<1H OCEAN
15,13279,-117.65,34.1,44.0,1526.0,337.0,831.0,326.0,3.0284,143958.0,INLAND
16,1108,-121.59,39.82,12.0,1958.0,369.0,875.0,354.0,2.3507,93317.0,INLAND
17,2839,-118.97,35.41,36.0,1896.0,315.0,937.0,303.0,3.996,95592.0,INLAND
18,7888,-118.06,33.88,17.0,7187.0,1073.0,3844.0,1068.0,6.5901,338827.01,<1H OCEAN
19,8658,-118.39,33.85,24.0,4373.0,871.0,1830.0,824.0,5.7128,395249.34,<1H OCEAN
20,11441,-117.98,33.73,18.0,3833.0,,2192.0,996.0,3.4679,197262.0,<1H OCEAN
21,8780,-118.32,33.79,35.0,2924.0,658.0,1675.0,602.0,3.8287,316394.0,<1H OCEAN
22,17314,-120.27,34.72,14.0,1289.0,277.0,693.0,237.0,3.2569,202050.0,<1H OCEAN
23,3216,-119.65,36.33,52.0,1257.0,257.0,624.0,243.0,2.3523,72507.0,INLAND
24,2202,-119.86,36.82,12.0,1488.0,253.0,675.0,223.0,4.7622,119700.0,INLAND
25,3072,-119.23,35.78,8.0,1612.0,343.0,1230.0,330.0,2.1806,64363.0,INLAND
26,5878,-118.35,34.16,45.0,1390.0,281.0,538.0,270.0,4.2212,239622.01,<1H OCEAN
27,19452,-120.94,37.68,4.0,13315.0,2424.0,6420.0,2289.0,4.2471,168804.0,INLAND
28,3009,-118.99,35.24,40.0,282.0,59.0,213.0,71.0,2.35,74893.0,INLAND
29,19612,-121.11,37.47,12.0,2263.0,410.0,913.0,330.0,3.5795,147709.0,INLAND
30,6493,-118.02,34.08,28.0,2769.0,631.0,2452.0,581.0,2.6071,190100.0,INLAND
31,10072,-120.17,39.33,10.0,614.0,141.0,195.0,95.0,0.9283,97430.0,INLAND
32,5055,-118.35,34.02,34.0,3978.0,1073.0,2725.0,1035.0,1.7622,297773.02,<1H OCEAN
33,9472,-123.34,39.5,15.0,2342.0,535.0,1064.0,433.0,1.8967,82022.0,INLAND
34,19749,-122.24,40.18,39.0,2191.0,493.0,1307.0,499.0,1.6483,59461.0,INLAND
35,18159,-122.03,37.36,28.0,2490.0,345.0,948.0,361.0,6.4913,383286.1,<1H OCEAN
36,14778,-117.09,32.58,12.0,2565.0,567.0,1785.0,545.0,3.0273,147977.0,NEAR OCEAN
37,5859,-118.33,34.18,45.0,1552.0,315.0,785.0,316.0,3.7411,204747.0,<1H OCEAN
38,12578,-121.44,38.53,37.0,1951.0,432.0,1089.0,411.0,2.3272,91856.0,INLAND
39,17231,-119.7,34.43,35.0,1402.0,369.0,654.0,385.0,2.6205,294702.03,<1H OCEAN
40,13952,-117.15,34.22,10.0,1039.0,174.0,317.0,109.0,7.2371,224242.0,INLAND
41,8607,-118.37,33.87,18.0,2516.0,485.0,1128.0,433.0,5.0114,371943.06,<1H OCEAN
42,11667,-118.01,33.85,29.0,3061.0,612.0,2396.0,640.0,4.6326,199271.0,<1H OCEAN
43,1819,-122.32,37.94,47.0,1911.0,283.0,697.0,275.0,6.2712,336776.05,NEAR BAY
44,10086,-117.96,33.94,34.0,2228.0,399.0,1159.0,378.0,4.8906,206811.0,<1H OCEAN
45,6355,-117.96,34.14,33.0,1994.0,405.0,993.0,403.0,3.766,185766.0,INLAND
46,11995,-117.55,34.0,17.0,3583.0,700.0,1587.0,719.0,2.6979,125352.0,INLAND
47,480,-122.28,37.86,41.0,2214.0,550.0,1213.0,568.0,2.2845,139540.0,NEAR BAY
48,13446,-117.43,34.07,18.0,2453.0,537.0,1503.0,500.0,2.3768,115915.0,INLAND
49,15364,-117.21,33.34,10.0,5294.0,817.0,2312.0,810.0,5.4563,309536.04,<1H OCEAN
50,9532,-120.68,37.47,33.0,1028.0,226.0,658.0,197.0,2.3043,105859.0,INLAND
51,3325,-122.83,38.96,15.0,1318.0,296.0,567.0,276.0,1.8692,85953.0,INLAND
52,17164,-122.22,37.37,26.0,440.0,202.0,322.0,218.0,5.1831,397325.23,NEAR OCEAN
53,15608,-116.87,32.75,15.0,2053.0,321.0,993.0,309.0,5.5164,222137.0,<1H OCEAN
54,8793,-118.39,33.79,30.0,4402.0,563.0,1582.0,551.0,10.898,500001.0,NEAR OCEAN
55,14289,-117.13,32.74,46.0,3355.0,768.0,1457.0,708.0,2.6604,251331.0,NEAR OCEAN
56,16009,-122.45,37.74,38.0,5688.0,930.0,2263.0,908.0,6.203,440621.41,NEAR BAY
57,19068,-122.47,38.29,14.0,3732.0,846.0,1277.0,775.0,2.5658,194186.0,NEAR BAY
58,9358,-122.54,37.95,38.0,2310.0,400.0,971.0,386.0,5.697,384277.1,NEAR BAY
59,19361,-123.1,38.79,20.0,3109.0,712.0,1643.0,638.0,2.8344,133025.0,<1H OCEAN
60,14773,-117.07,32.56,9.0,3648.0,895.0,3293.0,840.0,3.0992,142221.0,NEAR OCEAN
61,5248,-118.43,34.08,46.0,778.0,90.0,238.0,93.0,15.0001,500001.0,<1H OCEAN
62,18522,-122.05,36.97,16.0,3363.0,611.0,1603.0,556.0,4.2542,274486.01,NEAR OCEAN
63,17037,-122.25,37.49,43.0,2607.0,477.0,1225.0,461.0,4.224,325424.01,NEAR OCEAN
64,5950,-117.87,34.14,30.0,2495.0,586.0,1139.0,559.0,2.9375,154306.0,INLAND
65,4505,-118.2,34.05,42.0,1703.0,586.0,2490.0,581.0,2.02,170217.0,<1H OCEAN
66,16210,-121.32,37.94,36.0,40.0,10.0,64.0,14.0,2.625,109613.0,INLAND
67,1940,-120.96,38.66,11.0,2339.0,436.0,1062.0,380.0,3.9036,169990.0,INLAND
68,17373,-120.43,34.96,24.0,2739.0,414.0,1171.0,413.0,4.8155,229747.04,<1H OCEAN
69,409,-122.28,37.9,52.0,2003.0,250.0,658.0,244.0,10.0825,496578.97,NEAR BAY
70,18625,-122.0,37.08,17.0,4154.0,739.0,2149.0,693.0,5.5919,306583.02,NEAR OCEAN
71,8688,-118.34,33.87,34.0,1069.0,217.0,601.0,212.0,4.6406,267752.0,<1H OCEAN
72,3899,-118.52,34.21,36.0,1328.0,287.0,823.0,273.0,4.5648,212249.01,<1H OCEAN
73,4178,-118.22,34.09,42.0,1706.0,488.0,1941.0,447.0,2.5213,183914.0,<1H OCEAN
74,4366,-118.27,34.1,51.0,3149.0,519.0,1082.0,510.0,6.4459,466106.49,<1H OCEAN
75,13395,-117.58,34.02,4.0,5998.0,1092.0,3182.0,1042.0,5.2692,183346.0,INLAND
76,4429,-118.22,34.08,31.0,394.0,117.0,573.0,131.0,1.8173,180734.0,<1H OCEAN
77,18584,-121.78,36.93,21.0,2794.0,662.0,2236.0,565.0,2.4053,170956.0,<1H OCEAN
78,15301,-117.36,33.18,39.0,1546.0,291.0,833.0,308.0,2.8893,223229.01,NEAR OCEAN
79,2927,-119.01,35.36,24.0,1941.0,484.0,1277.0,435.0,1.056,56861.0,INLAND
80,5966,-117.81,34.11,21.0,3481.0,808.0,1866.0,746.0,3.6201,186648.0,INLAND
81,7129,-118.1,34.02,33.0,1143.0,172.0,508.0,174.0,4.9107,223792.0,<1H OCEAN
82,15162,-117.03,32.96,16.0,3424.0,698.0,1940.0,645.0,4.121,183896.0,<1H OCEAN
83,2520,-122.23,39.75,16.0,2026.0,396.0,1031.0,382.0,1.9375,80055.0,INLAND
84,18627,-121.96,37.1,20.0,922.0,155.0,361.0,135.0,6.3617,310065.0,<1H OCEAN
85,10005,-121.06,39.04,15.0,1999.0,287.0,585.0,246.0,5.5161,198428.0,INLAND
86,6826,-118.1,34.09,46.0,2822.0,525.0,1434.0,520.0,3.8906,275412.01,<1H OCEAN
87,8354,-118.32,33.95,44.0,2131.0,360.0,1040.0,330.0,5.0912,238058.01,<1H OCEAN
88,17149,-122.21,37.44,35.0,1140.0,193.0,486.0,199.0,4.6908,314795.02,NEAR OCEAN
89,4439,-118.19,34.1,39.0,2054.0,423.0,1205.0,403.0,4.239,244423.0,<1H OCEAN
90,19740,-122.38,40.09,16.0,2077.0,388.0,1155.0,389.0,3.1361,102901.0,INLAND
91,15281,-117.3,33.06,31.0,2128.0,520.0,1049.0,485.0,4.027,352718.22,NEAR OCEAN
92,653,-122.13,37.71,44.0,1421.0,298.0,609.0,270.0,3.5781,164374.0,NEAR BAY
93,5077,-118.29,33.98,44.0,2261.0,555.0,1348.0,455.0,1.9125,136121.0,<1H OCEAN
94,1159,-121.53,39.52,30.0,1030.0,161.0,448.0,159.0,2.4821,71509.0,INLAND
95,17428,-120.47,34.65,16.0,2549.0,428.0,1486.0,432.0,4.2875,195180.01,NEAR OCEAN
96,4986,-118.3,34.0,52.0,1718.0,354.0,1026.0,312.0,2.0,141611.0,<1H OCEAN
97,8103,-118.22,33.8,33.0,1984.0,477.0,1764.0,440.0,3.875,190901.0,NEAR OCEAN
98,5139,-118.27,33.97,39.0,2569.0,688.0,2601.0,630.0,2.0754,116943.0,<1H OCEAN
99,4608,-118.34,34.06,52.0,1311.0,310.0,707.0,290.0,3.4812,382834.05,<1H OCEAN
100,20299,-119.21,34.18,13.0,6103.0,1319.0,2986.0,1212.0,3.9718,255969.06,NEAR OCEAN
101,11045,-117.83,33.81,24.0,3550.0,895.0,2828.0,834.0,2.8403,178646.0,<1H OCEAN
102,20414,-118.85,34.18,11.0,5873.0,1455.0,3089.0,1365.0,3.5504,222324.0,<1H OCEAN
103,19976,-118.37,36.19,10.0,443.0,111.0,48.0,21.0,3.125,87500.0,INLAND
104,17813,-121.85,37.39,15.0,8748.0,1547.0,4784.0,1524.0,5.8322,277691.03,<1H OCEAN
